[9],['sigmoid'],16,117,Adam,MaxAbsoluteDeviation,5.0956292152404785,4.629912853240967,0.7005489999428391
"[8, 23, 13]","['sigmoid', 'swish', 'sigmoid']",06f856,537,Adam,MaxAbsoluteDeviation,0.14180517196655273,0.2142942100763321,3.4450675999978557
"[8, 23, 13]","['sigmoid', 'swish', 'swish']",06f858,537,Adam,MaxAbsoluteDeviation,0.3531467616558075,0.21833664178848267,3.4400530999992043
"[8, 23, 8]","['sigmoid', 'swish', 'swish']",06f808,537,Adam,MaxAbsoluteDeviation,0.25596851110458374,0.42289483547210693,3.4480512000154704
"[8, 23]","['sigmoid', 'swish']",06f8,537,Adam,MaxAbsoluteDeviation,0.22269627451896667,0.21517445147037506,2.899279399891384
"[8, 23]","['sigmoid', 'swish']",06f8,700,Adam,MaxAbsoluteDeviation,0.3774690628051758,0.42561885714530945,3.7791872998932377
"[8, 23]","['sigmoid', 'swish']",06f8,700,Adam,MaxAbsoluteDeviation,0.29394766688346863,0.150269016623497,3.776525199995376
"[23, 23]","['sigmoid', 'swish']",f6f8,700,Adam,MaxAbsoluteDeviation,0.2396003156900406,0.13326731324195862,3.706998800043948
"[23, 23]","['sigmoid', 'swish']",f6f8,382,Adam,MaxAbsoluteDeviation,0.33985844254493713,0.4134558141231537,2.119520300067961
"[23, 23]","['sigmoid', 'swish']",f6f8,382,Adam,MaxAbsoluteDeviation,0.7020962238311768,0.4706543982028961,2.1411444999976084
"[23, 23]","['sigmoid', 'swish']",f6f8,700,Adam,MaxAbsoluteDeviation,0.273506760597229,0.25735706090927124,3.6979728000005707
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.6001200079917908,0.5973352789878845,3.6411568000912666
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.33014535903930664,0.13169389963150024,3.6884410999482498
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.18652625381946564,0.22682124376296997,3.6923297999892384
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.2839627265930176,0.24526987969875336,3.659156100009568
