"[23, 8]","['swish', 'elu']",f800,301,Adam,MaxAbsoluteDeviation,0.8502199053764343,0.7452125549316406,1.1641106000170112
"[23, 8, 21]","['swish', 'elu', 'swish']",f800d8,301,Adam,MaxAbsoluteDeviation,0.8502199053764343,0.33301907777786255,1.318258999963291
"[23, 8]","['swish', 'elu']",f800,700,Adam,MaxAbsoluteDeviation,0.25680291652679443,0.5151901245117188,2.4491982999024913
"[23, 8]","['swish', 'elu']",f800,700,Adam,MaxAbsoluteDeviation,0.25845664739608765,0.2612428665161133,2.467317800037563
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.25845664739608765,2.1664035320281982,2.1528974999673665
"[23, 8]","['swish', 'elu']",f800,319,Adam,MaxAbsoluteDeviation,0.25845664739608765,0.2274799346923828,1.212188299978152
"[8, 8]","['swish', 'elu']",0800,700,Adam,MaxAbsoluteDeviation,0.30750206112861633,0.17520904541015625,2.3980588999111205
"[8, 8]","['swish', 'elu']",0800,700,Adam,MaxAbsoluteDeviation,0.2340344935655594,0.18342936038970947,2.396526399999857
"[8, 8]","['swish', 'elu']",0800,700,Adam,MaxAbsoluteDeviation,0.859373152256012,0.6593265533447266,2.3768526000203565
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8770708441734314,0.8153753876686096,2.1603806000202894
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8770708441734314,2.6557111740112305,2.167138399905525
[8],['swish'],08,412,Adam,MaxAbsoluteDeviation,0.8770708441734314,2.452700138092041,1.326575699960813
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.6642693281173706,0.6578884124755859,2.1384866000153124
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.7828140258789062,0.6839285492897034,2.1642284999834374
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.9940087199211121,0.6862621307373047,2.1764076000545174
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.9940087199211121,2.6418333053588867,2.170308299944736
[8],['swish'],08,629,Adam,MaxAbsoluteDeviation,0.9940087199211121,2.9427194595336914,1.9463398000225425
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.9940087199211121,1.9082980155944824,2.1598001000238582
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.9940087199211121,1.466316819190979,2.1451424999395385
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8338167667388916,0.6951150298118591,2.1562568999361247
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8338167667388916,2.3885269165039062,2.1724246999947354
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.7476478815078735,0.548548698425293,2.1375687000108883
"[23, 19]","['swish', 'sigmoid']",f8b6,700,Adam,MaxAbsoluteDeviation,0.1791924238204956,0.3970470428466797,2.362922800006345
"[23, 19]","['swish', 'elu']",f8b0,700,Adam,MaxAbsoluteDeviation,0.23175865411758423,0.4396514892578125,2.395847199950367
"[23, 19]","['swish', 'elu']",f8b0,671,Adam,MaxAbsoluteDeviation,0.196035236120224,0.11235499382019043,2.2559294999809936
"[23, 19]","['swish', 'elu']",f8b0,616,Adam,MaxAbsoluteDeviation,0.2935678958892822,0.33478355407714844,2.0900247999234125
"[23, 19, 20]","['swish', 'elu', 'swish']",f8b0c8,616,Adam,MaxAbsoluteDeviation,0.3381704092025757,0.5274028778076172,2.3035076999804005
