"[23, 17, 23, 23, 15, 18, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish']",f998f8f076a60808,100,Adam,MaxAbsoluteDeviation,0.9386888146400452,0.7016201019287109,1.9738317000446841
"[23, 17, 23, 23, 15, 23, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish']",f998f8f076f60808,100,Adam,MaxAbsoluteDeviation,0.5827991962432861,0.5222965478897095,1.9467251999303699
"[23, 17, 23, 23, 15, 8, 8, 8, 22]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish', 'elu']",f998f8f076060808e0,100,Adam,MaxAbsoluteDeviation,0.8285427689552307,0.4117811620235443,2.0487569000106305
"[23, 17, 23, 23, 15, 8, 8, 8, 22]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish', 'elu']",f998f8f076060808e0,100,Adam,MaxAbsoluteDeviation,0.6931328773498535,0.4768429696559906,4.253510200069286
"[23, 17, 23, 23, 15, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish']",f998f8f076060808,100,Adam,MaxAbsoluteDeviation,0.4275796413421631,0.5532147884368896,2.390165299992077
"[23, 8, 23, 23, 15, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish']",f908f8f076060808,100,Adam,MaxAbsoluteDeviation,0.7238854169845581,0.6106289029121399,2.371900200028904
"[23, 8, 23, 23, 15, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'tanh', 'swish']",f908f8f076060908,100,Adam,MaxAbsoluteDeviation,0.6348350644111633,0.5680047273635864,2.3748909999849275
"[23, 8, 23, 23, 15, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'tanh', 'swish']",f908f8f076060908,700,Adam,MaxAbsoluteDeviation,0.39453360438346863,0.22920377552509308,11.826438200077973
"[23, 8, 23, 23, 15, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh', 'swish']",f908f8f078060908,700,Adam,MaxAbsoluteDeviation,0.3527761399745941,0.27341699600219727,11.745641099987552
"[23, 8, 23, 23, 15, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh', 'swish']",f908f8f078060908,700,Adam,MaxAbsoluteDeviation,0.22821031510829926,0.18557479977607727,11.888777200016193
"[23, 8, 23, 23, 15, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh']",f908f8f0780609,700,Adam,MaxAbsoluteDeviation,0.4195653200149536,0.2944314181804657,10.98981780000031
"[23, 8, 23, 23, 15, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh']",f908f8f0780609,700,Adam,MaxAbsoluteDeviation,0.38589709997177124,0.1654023975133896,10.756574099999852
"[23, 8, 8, 23, 15, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh']",f90808f0780609,700,Adam,MaxAbsoluteDeviation,0.2772705554962158,0.12407997250556946,10.664745799964294
"[23, 8, 8, 23, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh']",f90808f0080609,700,Adam,MaxAbsoluteDeviation,0.2227775603532791,0.07188892364501953,10.612283900030889
"[23, 8, 8, 23, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid', 'tanh']",f90808f0080609,700,Adam,MaxAbsoluteDeviation,0.3471202850341797,0.18876302242279053,10.325043000048026
"[23, 8, 8, 23, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'sigmoid']",f90808f00806,700,Adam,MaxAbsoluteDeviation,0.2702370882034302,0.19063100218772888,9.895287699997425
"[23, 8, 8, 23, 8]","['tanh', 'swish', 'swish', 'elu', 'swish']",f90808f008,700,Adam,MaxAbsoluteDeviation,0.2158128023147583,0.06196584552526474,8.914102699956857
"[23, 8, 8, 23, 8]","['tanh', 'swish', 'swish', 'elu', 'swish']",f90808f008,700,Adam,MaxAbsoluteDeviation,0.18896682560443878,0.11172136664390564,8.736501899897121
"[8, 8, 8, 23, 8]","['tanh', 'swish', 'swish', 'elu', 'swish']",090808f008,700,Adam,MaxAbsoluteDeviation,0.1984008550643921,0.27643099427223206,8.739143699989654
"[8, 8, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish']",0908080008,700,Adam,MaxAbsoluteDeviation,0.16227778792381287,0.08264749497175217,8.47981770010665
"[8, 8, 8, 8, 8, 9]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish']",090808000818,700,Adam,MaxAbsoluteDeviation,0.17033536732196808,0.25157779455184937,9.01914410002064
"[8, 8, 8, 8, 8, 9]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish']",090808000818,700,Adam,MaxAbsoluteDeviation,0.3230540454387665,0.08654934167861938,9.106339799938723
"[8, 8, 8, 8, 8, 9]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish']",090808000818,700,Adam,MaxAbsoluteDeviation,0.22236984968185425,0.13722079992294312,9.133697499986738
"[8, 8, 8, 8, 8, 9]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish']",090808000818,700,Adam,MaxAbsoluteDeviation,0.6018304228782654,0.2461358904838562,8.839876700076275
"[8, 8, 8, 8, 8, 9, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800081838,700,Adam,MaxAbsoluteDeviation,0.2168596088886261,0.06654134392738342,9.873999499948695
"[8, 8, 8, 8, 8, 9, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800081838,700,Adam,MaxAbsoluteDeviation,0.17991547286510468,0.10463449358940125,9.428145900019445
"[8, 8, 8, 8, 8, 9, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800081838,700,Adam,MaxAbsoluteDeviation,0.25546255707740784,0.09896282106637955,9.24594369996339
"[8, 8, 8, 8, 8, 9, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800081838,700,Adam,MaxAbsoluteDeviation,0.40740540623664856,0.13186949491500854,9.524124500108883
"[8, 8, 8, 8, 8, 23, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",0908080008f838,700,Adam,MaxAbsoluteDeviation,0.3352460563182831,0.0988563746213913,9.603570400038734
"[8, 8, 8, 8, 8, 23, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",0908080008f838,700,Adam,MaxAbsoluteDeviation,0.5644369125366211,0.3436143398284912,9.690534099936485
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800080838,700,Adam,MaxAbsoluteDeviation,0.2670067548751831,0.058655090630054474,9.733218999928795
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800080838,700,Adam,MaxAbsoluteDeviation,0.42376965284347534,0.06088779494166374,9.699325500056148
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800080838,700,Adam,MaxAbsoluteDeviation,0.313431978225708,0.14136914908885956,9.70022529992275
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800080838,398,Adam,MaxAbsoluteDeviation,0.1702585071325302,0.04716672748327255,6.021959100035019
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800080838,700,Adam,MaxAbsoluteDeviation,0.17447838187217712,0.33219969272613525,9.749837200040929
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'swish', 'swish']",09080800080838,700,Adam,MaxAbsoluteDeviation,0.14882931113243103,0.1140759289264679,9.869036099989899
"[8, 8, 8, 8, 8, 8, 11]","['tanh', 'swish', 'swish', 'elu', 'swish', 'tanh', 'swish']",09080800080938,700,Adam,MaxAbsoluteDeviation,0.2211606800556183,0.20008130371570587,10.304500399972312
"[8, 8, 8, 8, 8, 8, 8, 16]","['tanh', 'swish', 'swish', 'elu', 'tanh', 'tanh', 'swish', 'tanh']",0908080009090889,700,Adam,MaxAbsoluteDeviation,0.5985932350158691,0.33595040440559387,13.522632399923168
"[8, 8, 8, 8, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'swish', 'tanh']",090808000809,700,Adam,MaxAbsoluteDeviation,0.2614279091358185,0.22130388021469116,10.366238399990834
"[8, 8, 8, 8, 8, 8]","['elu', 'swish', 'swish', 'elu', 'sigmoid', 'tanh']",000808000609,700,Adam,MaxAbsoluteDeviation,0.15644797682762146,0.12970343232154846,10.10797030001413
"[8, 8, 8, 8, 8, 8]","['elu', 'swish', 'swish', 'sigmoid', 'sigmoid', 'tanh']",000808060609,700,Adam,MaxAbsoluteDeviation,0.2599004805088043,0.10567403584718704,10.052670400007628
"[8, 8, 8, 8, 8, 8]","['elu', 'swish', 'swish', 'sigmoid', 'sigmoid', 'tanh']",000808060609,700,Adam,MaxAbsoluteDeviation,0.20621417462825775,0.08223836869001389,9.921106399968266
"[8, 8, 8, 8, 8, 8]","['elu', 'swish', 'swish', 'sigmoid', 'sigmoid', 'tanh']",000808060609,700,Adam,MaxAbsoluteDeviation,0.2181539535522461,0.15968942642211914,10.011395600042306
"[8, 8, 8, 8, 8]","['elu', 'swish', 'swish', 'sigmoid', 'sigmoid']",0008080606,700,Adam,MaxAbsoluteDeviation,0.19478778541088104,0.1284673511981964,8.97763490001671
"[8, 8, 8, 8, 8, 17]","['elu', 'swish', 'swish', 'sigmoid', 'sigmoid', 'swish']",000808060698,700,Adam,MaxAbsoluteDeviation,0.5007762312889099,0.37364619970321655,9.852561299921945
"[8, 8, 8, 8, 8]","['elu', 'swish', 'swish', 'sigmoid', 'sigmoid']",0008080606,700,Adam,MaxAbsoluteDeviation,0.17358914017677307,0.06896133720874786,8.966141700046137
"[8, 8, 8]","['elu', 'swish', 'swish']",000808,700,Adam,MaxAbsoluteDeviation,0.25567734241485596,0.2517901360988617,7.511949799954891
"[8, 8, 8]","['elu', 'tanh', 'swish']",000908,700,Adam,MaxAbsoluteDeviation,0.23208481073379517,0.07035703957080841,7.26629210007377
"[8, 8]","['elu', 'tanh']",0009,700,Adam,MaxAbsoluteDeviation,0.11209596693515778,0.1183135062456131,6.604427200043574
"[8, 23, 20, 13]","['elu', 'tanh', 'elu', 'tanh']",00f9c059,700,Adam,MaxAbsoluteDeviation,0.35406649112701416,0.15527023375034332,7.816156599903479
"[8, 23, 20, 13, 22]","['elu', 'tanh', 'elu', 'tanh', 'elu']",00f9c059e0,700,Adam,MaxAbsoluteDeviation,0.38107842206954956,0.19084787368774414,8.471347199985757
"[8, 23, 20, 13, 22, 20]","['elu', 'tanh', 'elu', 'tanh', 'elu', 'tanh']",00f9c059e0c9,700,Adam,MaxAbsoluteDeviation,0.4765870273113251,0.3088173270225525,9.164483500062488
"[8, 23, 20, 13]","['elu', 'tanh', 'elu', 'tanh']",00f9c059,700,Adam,MaxAbsoluteDeviation,0.3101619780063629,0.16042405366897583,7.761347799911164
