"[8, 23, 23, 8, 8, 12, 23]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid']",09f8f0000649f6,700,Adam,MaxAbsoluteDeviation,0.26098397374153137,0.3935287892818451,7.674720800016075
"[8, 23, 23, 8, 8, 12]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh']",09f8f0000649,700,Adam,MaxAbsoluteDeviation,0.4160650670528412,0.43659311532974243,6.737167799961753
"[8, 23, 23, 8, 8, 8]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh']",09f8f0000609,700,Adam,MaxAbsoluteDeviation,0.34417107701301575,0.25060808658599854,6.797688300022855
"[8, 23, 23, 8, 8, 8]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh']",09f8f0000609,700,Adam,MaxAbsoluteDeviation,0.23969164490699768,0.38732749223709106,6.718071199953556
"[8, 23, 23, 8, 8, 8, 10]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid']",09f8f000060926,700,Adam,MaxAbsoluteDeviation,0.18900536000728607,0.20757296681404114,7.446440200088546
"[8, 23, 23, 8, 8, 8, 10]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid']",09f8f000060926,143,Adam,MaxAbsoluteDeviation,0.18900536000728607,3.518707752227783,2.0024469000054523
"[8, 23, 23, 8, 8, 8, 10, 22]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid', 'sigmoid']",09f8f000060926e6,700,Adam,MaxAbsoluteDeviation,0.44695261120796204,0.3490850329399109,8.134371099993587
"[8, 23, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid', 'sigmoid']",09f8f000060926f6,700,Adam,MaxAbsoluteDeviation,0.43794310092926025,0.47712576389312744,8.180716200033203
"[8, 23, 23, 8, 8, 8, 10, 23]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid', 'sigmoid']",09f8f000060926f6,700,Adam,MaxAbsoluteDeviation,0.29152366518974304,0.386355996131897,8.193982800003141
"[8, 23, 23, 8, 8, 8, 10, 23, 9]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",09f8f000060926f619,700,Adam,MaxAbsoluteDeviation,0.4906277060508728,0.32734861969947815,8.802197099896148
